,buildingname,buildingaddress,buildingtype,greenmarkstatus,greenmarkrating,buildingsize,grossfloorarea,2017energyuseintensity,2018energyusintensity
1098,OUR TAMPINES HUB,"51 TAMPINES AVENUE 4, SINGAPORE 529684",Office,Yes,Platinum,Large,"120,263",68.0,1.0
1104,321 CLEMENTI,"321 CLEMENTI AVENUE 3, SINGAPORE 129905",Retail,Yes,Platinum,Small,"7,564",328.0,349.0
1108,MAXWELL HOUSE,"20 MAXWELL ROAD, SINGAPORE 069113",Office,Yes,Platinum,Large,"16,608",153.0,124.0
1116,HOTEL FORT CANING,"11 CANNING WALK, SINGAPORE 178881",Hotel,Yes,GoldPlus,Large,"8,922",341.0,326.0
1119,SIM LIM TOWER,"10 JALAN BESAR, SINGAPORE 208787",Mixed Development,Yes,GoldPlus,Large,"22,772",135.0,128.0
1124,8 ON CLAYMORE,"8 CLAYMORE HILL, SINGAPORE 229572",Hotel,Yes,Gold,Large,"13,539",204.0,201.0
1126,CHIJMES,"30 VICTORIA STREET, SINGAPORE 187996",Retail,Yes,Certified,Small,"14,790",511.0,520.0
1131,SHAW CENTRE,"1 SCOTTS ROAD, SINGAPORE 228208",Office,Yes,Gold,Large,"40,939",367.0,362.0
1132,SHAW HOUSE,"350 ORCHARD ROAD, SINGAPORE 238868",Office,Yes,Gold,Large,"49,048",268.0,260.0
1147,ROYAL SQUARE AT NOVENA,"99 IRRAWADDY ROAD, SINGAPORE 329568",Retail,Yes,Platinum,Large,"36,961",68.0,208.0
1151,NORTH BRIDGE CENTRE,"420 NORTH BRIDGE ROAD, SINGAPORE 188727",Office,Yes,Gold,Small,"9,164",137.0,137.0
1157,BUGIS JUNCTION,"230 VICTORIA STREET, SINGAPORE 188024",Mixed Development,Yes,Platinum,Large,"118,984",382.0,378.0
1160,NATIONAL DESIGN CENTRE,"111 MIDDLE ROAD, SINGAPORE 188969",Office,Yes,Platinum,Small,"7,860",198.0,196.0
1161,WATERTOWN,"83 PUNGGOL CENTRAL, SINGAPORE 828761",Retail,Yes,GoldPlus,Large,"50,399",549.0,561.0
1162,OCBC TAMPINES CENTRE ONE,"11 TAMPINES CENTRAL 1, SINGAPORE 529542",Office,Yes,Gold,Small,"10,777",834.0,274.0
1163,OCBC TAMPINES CENTRE TWO,"31 TAMPINES AVENUE 4, SINGAPORE 529680",Office,Yes,Gold,Small,"8,946",282.0,290.0
1165,DJIT SUN MALL,"5 ANG MO KIO CENTRAL 2, SINGAPORE 569663",Retail,Yes,Certified,Small,"5,103",469.0,498.0
1167,LIFELONG LEARNING INSTITUTE,"11 EUNOS ROAD 8, SINGAPORE 408601",Private School,Yes,Platinum,Large,"31,054",163.0,156.0
1196,SCAPE,"2 ORCHARD LINK, SINGAPORE 237978",Mixed Development,Yes,Gold,Small,"13,102",370.0,359.0
1231,SINGAPORE POOLS BUILDING,"210 MIDDLE ROAD, SINGAPORE 188994",Office,Yes,GoldPlus,Small,"13,121",264.0,264.0
1234,INTERNATIONAL BUILDING,"360 ORCHARD ROAD, SINGAPORE 238869",Office,Yes,GoldPlus,Large,"15,267",349.0,535.0
1240,POMO,"1 SELEGIE ROAD, SINGAPORE 188306",Private School,Yes,Platinum,Large,"21,832",288.0,261.0
1242,PARKWAY PARADE,"80 MARINE PARADE ROAD, SINGAPORE 449269",Office,Yes,Platinum,Large,"99,012",326.0,330.0
